date,iso_code,location,total_cases,new_cases
2020-03-01,USA,United States,32.0,7.0
2020-03-02,USA,United States,55.0,23.0
2020-03-03,USA,United States,74.0,19.0
2020-03-04,USA,United States,107.0,33.0
2020-03-05,USA,United States,184.0,77.0
2020-03-06,USA,United States,237.0,53.0
2020-03-07,USA,United States,403.0,166.0
2020-03-08,USA,United States,519.0,116.0
2020-03-09,USA,United States,594.0,75.0
2020-03-10,USA,United States,782.0,188.0
2020-03-11,USA,United States,1147.0,365.0
2020-03-12,USA,United States,1586.0,439.0
2020-03-13,USA,United States,2219.0,633.0
2020-03-14,USA,United States,2978.0,759.0
2020-03-15,USA,United States,3212.0,234.0
2020-03-16,USA,United States,4679.0,1467.0
2020-03-17,USA,United States,6512.0,1833.0
2020-03-18,USA,United States,9169.0,2657.0
2020-03-19,USA,United States,13663.0,4494.0
2020-03-20,USA,United States,20030.0,6367.0
2020-03-21,USA,United States,26025.0,5995.0
2020-03-22,USA,United States,34944.0,8919.0
2020-03-23,USA,United States,46096.0,11152.0
2020-03-24,USA,United States,56714.0,10618.0
2020-03-25,USA,United States,68841.0,12127.0
2020-03-26,USA,United States,86662.0,17821.0
2020-03-27,USA,United States,105253.0,18591.0
2020-03-28,USA,United States,127417.0,22164.0
2020-03-29,USA,United States,143544.0,16127.0
2020-03-30,USA,United States,165698.0,22154.0
2020-03-31,USA,United States,192079.0,26381.0
2020-04-01,USA,United States,223531.0,31452.0
2020-04-02,USA,United States,255619.0,32088.0
2020-04-03,USA,United States,287823.0,32204.0
2020-04-04,USA,United States,319714.0,31891.0
2020-04-05,USA,United States,348956.0,29242.0
2020-04-06,USA,United States,380685.0,31729.0
2020-04-07,USA,United States,410750.0,30065.0
2020-04-08,USA,United States,441828.0,31078.0
2020-04-09,USA,United States,477439.0,35611.0
2020-04-10,USA,United States,511778.0,34339.0
2020-04-11,USA,United States,540651.0,28873.0
2020-04-12,USA,United States,567102.0,26451.0
2020-04-13,USA,United States,594143.0,27041.0
2020-04-14,USA,United States,622492.0,28349.0
2020-04-15,USA,United States,648122.0,25630.0
2020-04-16,USA,United States,677791.0,29669.0
2020-04-17,USA,United States,710585.0,32794.0
2020-04-18,USA,United States,738145.0,27560.0
2020-04-19,USA,United States,763786.0,25641.0
2020-04-20,USA,United States,793812.0,30026.0
2020-04-21,USA,United States,819739.0,25927.0
2020-04-22,USA,United States,849125.0,29386.0
2020-04-23,USA,United States,881502.0,32377.0
2020-04-24,USA,United States,913444.0,31942.0
2020-04-25,USA,United States,944509.0,31065.0
2020-04-26,USA,United States,970648.0,26139.0
2020-04-27,USA,United States,995277.0,24629.0
2020-04-28,USA,United States,1019718.0,24441.0
2020-04-29,USA,United States,1046323.0,26605.0
2020-04-30,USA,United States,1075384.0,29061.0
2020-05-01,USA,United States,1110657.0,35273.0
2020-05-02,USA,United States,1137961.0,27304.0
2020-05-03,USA,United States,1161844.0,23883.0
2020-05-04,USA,United States,1185724.0,23880.0
2020-05-05,USA,United States,1209657.0,23933.0
2020-05-06,USA,United States,1234136.0,24479.0
2020-05-07,USA,United States,1261636.0,27500.0
2020-05-08,USA,United States,1288983.0,27347.0
2020-05-09,USA,United States,1313531.0,24548.0
2020-05-10,USA,United States,1332248.0,18717.0
2020-05-11,USA,United States,1351304.0,19056.0
2020-05-12,USA,United States,1374532.0,23228.0
2020-05-13,USA,United States,1394493.0,19961.0
2020-05-14,USA,United States,1420465.0,25972.0
2020-05-15,USA,United States,1445346.0,24881.0
2020-05-16,USA,United States,1469473.0,24127.0
2020-05-17,USA,United States,1487848.0,18375.0
2020-05-18,USA,United States,1510438.0,22590.0
2020-05-19,USA,United States,1530989.0,20551.0
2020-05-20,USA,United States,1553557.0,22568.0
2020-05-21,USA,United States,1578936.0,25379.0
2020-05-22,USA,United States,1602847.0,23911.0
2020-05-23,USA,United States,1623003.0,20156.0
2020-05-24,USA,United States,1643184.0,20181.0
2020-05-25,USA,United States,1662107.0,18923.0
2020-05-26,USA,United States,1680788.0,18681.0
2020-05-27,USA,United States,1699701.0,18913.0
2020-05-28,USA,United States,1720769.0,21068.0
2020-05-29,USA,United States,1746010.0,25241.0
2020-05-30,USA,United States,1769149.0,23139.0
2020-05-31,USA,United States,1787437.0,18288.0
2020-06-01,USA,United States,1804696.0,17259.0
2020-06-02,USA,United States,1825905.0,21209.0
2020-06-03,USA,United States,1845204.0,19299.0
2020-06-04,USA,United States,1873255.0,28051.0
2020-06-05,USA,United States,1899624.0,26369.0
2020-06-06,USA,United States,1919964.0,20340.0
2020-06-07,USA,United States,1937706.0,17742.0
2020-06-08,USA,United States,1954628.0,16922.0
2020-06-09,USA,United States,1974915.0,20287.0
2020-06-10,USA,United States,1996563.0,21648.0
2020-06-11,USA,United States,2018641.0,22078.0
2020-06-12,USA,United States,2044427.0,25786.0
2020-06-13,USA,United States,2068498.0,24071.0
2020-06-14,USA,United States,2087590.0,19092.0
2020-06-15,USA,United States,2108541.0,20951.0
2020-06-16,USA,United States,2133209.0,24668.0
