product_title,asin,author,review,rating,date,url,sentiment
"Yankee Candle Large Jar Candle, Silver Birch",B00J6CH1VO,AnnaMarie,Complete waste of money! No smell whatsoever!!! I’ve literally got better smelling candles from target! No stars,1.0,2020-03-06,https://www.amazon.com/product-reviews/B00J6CH1VO/?pageNumber=23,negative
Yankee Candle Large Jar Candle French Vanilla,B000W3T9GG,Rebecca Silberstein,First the wick was not centered so the burn was to one side and it made the glass full of black soot. The smell was not pleasant at all!  My kids thought it was yogurt flavored not coffee at all. We threw it away.,1.0,2020-03-07,https://www.amazon.com/product-reviews/B000W3T9GG/?pageNumber=14,negative
Yankee Candle Large Jar Candle Vanilla Cupcake,B000X457HO,Rebecca Silberstein,First the wick was not centered so the burn was to one side and it made the glass full of black soot. The smell was not pleasant at all!  My kids thought it was yogurt flavored not coffee at all. We threw it away.,1.0,2020-03-07,https://www.amazon.com/product-reviews/B000X457HO/?pageNumber=14,negative
Yankee Candle Large Jar Candle Café Al Fresco,B01NAAQLZ1,Rebecca Silberstein,First the wick was not centered so the burn was to one side and it made the glass full of black soot. The smell was not pleasant at all!  My kids thought it was yogurt flavored not coffee at all. We threw it away.,1.0,2020-03-07,https://www.amazon.com/product-reviews/B01NAAQLZ1/?pageNumber=14,negative
Yankee Candle Large Jar Candle Mango Peach Salsa,B001PAPPKY,Muriel H,"Received the large Macintosh Apple candle today.The candle was very well packed,box inside of a box.I couldn't wait to light it up.Trimed the wick,lighted it up and waited and waited and waited some more .No  smell !! Got as close as possible to the lighted candle and caught a slight scent of apple.I am so disappointed!! Hope I have finally learned my lesson regarding ordering scented candles online!Just thought it being a yankee candle the quality would be better.Guess not! By the way this candle has been burning for two hours. NOTHING!!",1.0,2020-03-12,https://www.amazon.com/product-reviews/B001PAPPKY/?pageNumber=3,negative
"Yankee Candle Sicillian Lemon Scented Premium Paraffin Grade Candle Wax with up to 150 Hour Burn Time, Large Jar",B06X6H95GW,Muriel H,"Received the large Macintosh Apple candle today.The candle was very well packed,box inside of a box.I couldn't wait to light it up.Trimed the wick,lighted it up and waited and waited and waited some more .No  smell !! Got as close as possible to the lighted candle and caught a slight scent of apple.I am so disappointed!! Hope I have finally learned my lesson regarding ordering scented candles online!Just thought it being a yankee candle the quality would be better.Guess not! By the way this candle has been burning for two hours. NOTHING!!",1.0,2020-03-12,https://www.amazon.com/product-reviews/B06X6H95GW/?pageNumber=3,negative
Yankee Candle Large Jar Candle Macintosh,B007FSDIJA,Muriel H,"Received the large Macintosh Apple candle today.The candle was very well packed,box inside of a box.I couldn't wait to light it up.Trimed the wick,lighted it up and waited and waited and waited some more .No  smell !! Got as close as possible to the lighted candle and caught a slight scent of apple.I am so disappointed!! Hope I have finally learned my lesson regarding ordering scented candles online!Just thought it being a yankee candle the quality would be better.Guess not! By the way this candle has been burning for two hours. NOTHING!!",1.0,2020-03-12,https://www.amazon.com/product-reviews/B007FSDIJA/?pageNumber=3,negative
"Yankee Candle Pineapple Cilantro Jar Candle, Large Jar",B0032JHSP6,Muriel H,"Received the large Macintosh Apple candle today.The candle was very well packed,box inside of a box.I couldn't wait to light it up.Trimed the wick,lighted it up and waited and waited and waited some more .No  smell !! Got as close as possible to the lighted candle and caught a slight scent of apple.I am so disappointed!! Hope I have finally learned my lesson regarding ordering scented candles online!Just thought it being a yankee candle the quality would be better.Guess not! By the way this candle has been burning for two hours. NOTHING!!",1.0,2020-03-12,https://www.amazon.com/product-reviews/B0032JHSP6/?pageNumber=3,negative
Yankee Candle Large Jar Candle Strawberry Lemon Ice,B019PN2DX4,Muriel H,"Received the large Macintosh Apple candle today.The candle was very well packed,box inside of a box.I couldn't wait to light it up.Trimed the wick,lighted it up and waited and waited and waited some more .No  smell !! Got as close as possible to the lighted candle and caught a slight scent of apple.I am so disappointed!! Hope I have finally learned my lesson regarding ordering scented candles online!Just thought it being a yankee candle the quality would be better.Guess not! By the way this candle has been burning for two hours. NOTHING!!",1.0,2020-03-12,https://www.amazon.com/product-reviews/B019PN2DX4/?pageNumber=3,negative
Yankee Candle Large Jar Candle Bahama Breeze,B004G9DV66,CustomerOne,"These things are up to $30 now with sales around $16-20 vs finding sales for $6 just a few years back. This one smells decent if you sniff the jar but after being lit for 8+ hours in one sitting I still cant tell there is a scented candle in the room.  The freaking 2in dollar general one I had lit the day before it arrived filled the room. Low Quality & Double the cost. They have lost me forever, RIP Yankee Candle.",1.0,2020-03-17,https://www.amazon.com/product-reviews/B004G9DV66/?pageNumber=4,negative
