date,iso_code,location,total_cases,new_cases
2021-10-01,USA,United States,43682263.0,154614.0
2021-10-02,USA,United States,43729267.0,47004.0
2021-10-03,USA,United States,43772872.0,43605.0
2021-10-04,USA,United States,43918343.0,145471.0
2021-10-05,USA,United States,44013714.0,95371.0
2021-10-06,USA,United States,44126704.0,112990.0
2021-10-07,USA,United States,44228161.0,101457.0
2021-10-08,USA,United States,44359886.0,131725.0
2021-10-09,USA,United States,44397588.0,37702.0
2021-10-10,USA,United States,44436498.0,38910.0
2021-10-11,USA,United States,44533989.0,97491.0
2021-10-12,USA,United States,44645121.0,111132.0
2021-10-13,USA,United States,44753976.0,108855.0
2021-10-14,USA,United States,44840959.0,86983.0
2021-10-15,USA,United States,44950800.0,109841.0
2021-10-16,USA,United States,44990038.0,39238.0
2021-10-17,USA,United States,45021121.0,31083.0
2021-10-18,USA,United States,45121161.0,100040.0
2021-10-19,USA,United States,45202443.0,81282.0
2021-10-20,USA,United States,45294396.0,91953.0
2021-10-21,USA,United States,45372328.0,77932.0
2021-10-22,USA,United States,45468711.0,96383.0
2021-10-23,USA,United States,45500550.0,31839.0
2021-10-24,USA,United States,45519123.0,18573.0
2021-10-25,USA,United States,45630247.0,111124.0
2021-10-26,USA,United States,45699477.0,69230.0
2021-10-27,USA,United States,45801855.0,102378.0
2021-10-28,USA,United States,45877612.0,75757.0
2021-10-29,USA,United States,45972747.0,95135.0
2021-10-30,USA,United States,46006617.0,33870.0
2021-10-31,USA,United States,46038646.0,32029.0
2021-11-01,USA,United States,46150128.0,111482.0
2021-11-02,USA,United States,46221098.0,70970.0
2021-11-03,USA,United States,46306471.0,85373.0
2021-11-04,USA,United States,46388208.0,81737.0
2021-11-05,USA,United States,46484904.0,96696.0
2021-11-06,USA,United States,46519511.0,34607.0
2021-11-07,USA,United States,46555825.0,36314.0
2021-11-08,USA,United States,46664869.0,109044.0
2021-11-09,USA,United States,46744841.0,79972.0
2021-11-10,USA,United States,46840555.0,95714.0
2021-11-11,USA,United States,46897227.0,56672.0
2021-11-12,USA,United States,47042062.0,144835.0
2021-11-13,USA,United States,47085571.0,43509.0
2021-11-14,USA,United States,47116792.0,31221.0
2021-11-15,USA,United States,47251615.0,134823.0
2021-11-16,USA,United States,47338690.0,87075.0
2021-11-17,USA,United States,47451380.0,112690.0
2021-11-18,USA,United States,47561582.0,110202.0
2021-11-19,USA,United States,47688508.0,126926.0
2021-11-20,USA,United States,47733313.0,44805.0
2021-11-21,USA,United States,47772548.0,39235.0
2021-11-22,USA,United States,47918212.0,145664.0
2021-11-23,USA,United States,48009502.0,91290.0
2021-11-24,USA,United States,48121047.0,111545.0
2021-11-25,USA,United States,48160105.0,39058.0
2021-11-26,USA,United States,48212811.0,52706.0
2021-11-27,USA,United States,48238828.0,26017.0
2021-11-28,USA,United States,48281338.0,42510.0
2021-11-29,USA,United States,48469081.0,187743.0
2021-11-30,USA,United States,48586419.0,117338.0
2021-12-01,USA,United States,48723416.0,136997.0
2021-12-02,USA,United States,48862639.0,139223.0
2021-12-03,USA,United States,49021288.0,158649.0
2021-12-04,USA,United States,49086882.0,65594.0
2021-12-05,USA,United States,49141150.0,54268.0
2021-12-06,USA,United States,49320637.0,179487.0
2021-12-07,USA,United States,49433879.0,113242.0
2021-12-08,USA,United States,49583551.0,149672.0
2021-12-09,USA,United States,49706000.0,122449.0
2021-12-10,USA,United States,49866678.0,160678.0
2021-12-11,USA,United States,49922510.0,55832.0
2021-12-12,USA,United States,49973827.0,51317.0
2021-12-13,USA,United States,50160912.0,187085.0
2021-12-14,USA,United States,50275736.0,114824.0
2021-12-15,USA,United States,50419315.0,143579.0
2021-12-16,USA,United States,50560916.0,141601.0
2021-12-17,USA,United States,50753684.0,192768.0
2021-12-18,USA,United States,50831469.0,77785.0
2021-12-19,USA,United States,50919263.0,87794.0
2021-12-20,USA,United States,51161681.0,242418.0
2021-12-21,USA,United States,51340056.0,178375.0
2021-12-22,USA,United States,51580795.0,240739.0
2021-12-23,USA,United States,51850531.0,269736.0
2021-12-24,USA,United States,52083986.0,233455.0
2021-12-25,USA,United States,52156791.0,72805.0
2021-12-26,USA,United States,52352498.0,195707.0
2021-12-27,USA,United States,52861106.0,508608.0
2021-12-28,USA,United States,53217110.0,356004.0
2021-12-29,USA,United States,53715495.0,498385.0
2021-12-30,USA,United States,54303763.0,588268.0
2021-12-31,USA,United States,54793602.0,489839.0
2022-01-01,USA,United States,54959872.0,166270.0
2022-01-02,USA,United States,55263999.0,304127.0
2022-01-03,USA,United States,56340454.0,1076455.0
2022-01-04,USA,United States,57146009.0,805555.0
2022-01-05,USA,United States,57790463.0,644454.0
2022-01-06,USA,United States,58605103.0,814640.0
2022-01-07,USA,United States,59461893.0,856790.0
2022-01-08,USA,United States,59847636.0,385743.0
2022-01-09,USA,United States,60323380.0,475744.0
2022-01-10,USA,United States,61691762.0,1368382.0
2022-01-11,USA,United States,62461007.0,769245.0
2022-01-12,USA,United States,63370543.0,909536.0
2022-01-13,USA,United States,64210668.0,840125.0
2022-01-14,USA,United States,65069619.0,858951.0
2022-01-15,USA,United States,65463200.0,393581.0
2022-01-16,USA,United States,65930556.0,467356.0
