product_title,asin,author,review,rating,date,url,sentiment
Yankee Candle Large Jar Candle Spiced Pumpkin,B000W3V8S8,Lisa,"this came with some liquified oily residue that had seeped thru the inner packing, and was all over my hands when I took it out. I burned it for 4 hours and no smell AT ALL even standing over it.",1.0,2021-10-01,https://www.amazon.com/product-reviews/B000W3V8S8/?pageNumber=22,negative
"Yankee Candle Large 2-Wick Tumbler Candle, Spiced Pumpkin",B004USM1A0,Lisa,"this came with some liquified oily residue that had seeped thru the inner packing, and was all over my hands when I took it out. I burned it for 4 hours and no smell AT ALL even standing over it.",1.0,2021-10-01,https://www.amazon.com/product-reviews/B004USM1A0/?pageNumber=22,negative
"Yankee Candle Large Jar Candle, Autumn Wreath",B000TVJ6XW,Lisa,"this came with some liquified oily residue that had seeped thru the inner packing, and was all over my hands when I took it out. I burned it for 4 hours and no smell AT ALL even standing over it.",1.0,2021-10-01,https://www.amazon.com/product-reviews/B000TVJ6XW/?pageNumber=22,negative
Yankee Candle 1073481EZ Large Jar Candle Lemon Lavender,B000WQZ5PC,Angie,Did not burn good and had a chemical smell!,1.0,2021-10-01,https://www.amazon.com/product-reviews/B000WQZ5PC/?pageNumber=29,negative
Yankee Candle Large Jar Candle Macintosh,B007FSDIJA,Michael Kopecky,"This product comes badly packaged off Amazon shipping and will easily break like mine did the second you open it.  It also smells absolutely disgusting, worse than any artificial lemon scent I’ve ever smelled!  What a waste of my money!",1.0,2021-10-04,https://www.amazon.com/product-reviews/B007FSDIJA/?pageNumber=12,negative
Yankee Candle Large Jar Candle Mango Peach Salsa,B001PAPPKY,Michael Kopecky,"This product comes badly packaged off Amazon shipping and will easily break like mine did the second you open it.  It also smells absolutely disgusting, worse than any artificial lemon scent I’ve ever smelled!  What a waste of my money!",1.0,2021-10-04,https://www.amazon.com/product-reviews/B001PAPPKY/?pageNumber=12,negative
"Yankee Candle Pineapple Cilantro Jar Candle, Large Jar",B0032JHSP6,Michael Kopecky,"This product comes badly packaged off Amazon shipping and will easily break like mine did the second you open it.  It also smells absolutely disgusting, worse than any artificial lemon scent I’ve ever smelled!  What a waste of my money!",1.0,2021-10-04,https://www.amazon.com/product-reviews/B0032JHSP6/?pageNumber=12,negative
Yankee Candle Large Jar Candle Strawberry Lemon Ice,B019PN2DX4,Michael Kopecky,"This product comes badly packaged off Amazon shipping and will easily break like mine did the second you open it.  It also smells absolutely disgusting, worse than any artificial lemon scent I’ve ever smelled!  What a waste of my money!",1.0,2021-10-04,https://www.amazon.com/product-reviews/B019PN2DX4/?pageNumber=12,negative
"Yankee Candle Sicillian Lemon Scented Premium Paraffin Grade Candle Wax with up to 150 Hour Burn Time, Large Jar",B06X6H95GW,Michael Kopecky,"This product comes badly packaged off Amazon shipping and will easily break like mine did the second you open it.  It also smells absolutely disgusting, worse than any artificial lemon scent I’ve ever smelled!  What a waste of my money!",1.0,2021-10-04,https://www.amazon.com/product-reviews/B06X6H95GW/?pageNumber=12,negative
Cinnamon Roll Scented Candles for Home | Non Toxic Long Lasting Soy Candles | Delicious Scent | Large 16 oz Mason Jar | Hand Made in The USA,B07WDYMGZN,Desiree B,"Cute packaging, long burn time but weak throw… I couldn’t smell it at all.",2.0,2021-10-08,https://www.amazon.com/product-reviews/B07WDYMGZN/?pageNumber=30,negative
