product_title,asin,author,review,rating,date,url,sentiment
Yankee Candle Large Jar Candle Home Sweet Home,B000WUFVR0,Just sayin'..,"I have had this scent for almost 20 years, give it take. The last one I had was bought about 5ish years ago and cycled seasonly with other Yankee Candles. It definitely always had a cinnamon smell but not like this. This one is almost satirical! This Home Sweet Home candle has such an exaggerated cinnamon smell, it burns the throat to smell it! You'll notice I made a point to let it be known I haven't bought a HSH Yankee candle in about 5 years. I did that incase Yankee has changed the formula to increase the Cinnamon. Or maybe it was a mistake buying on Amazon? Maybe it's a second? Or maybe I am just getting old and my olfactory glands are 'going' first? The only problem with the latter is the previous HSH candle I had was at it's wicks end and I was able to compare. So if it's my olfactory senses, they went haywire overnight. Yankee offers candles with Cinnamon in the name to let it be known cinnamon is what you're going to get. Wow, if they are more 'cinnamony' than this, it would double as a tear gas agent. Just imagine putting a Yankee cinnamon candle on a warmer during the holidays. One could clear out any family or friend visitors from sheer discomfort alone! This HSH is more than half way there. One could use this to politely clear any guests out of the home. It's just too much!",2.0,2021-12-19,https://www.amazon.com/product-reviews/B000WUFVR0/?pageNumber=2,positive
Yankee Candle Large Jar Candle Home Sweet Home,B000WUFVR0,RSS,"The scent is good if you like a really spicey aroma. I am not too happy about it but I hope the person I give it to likes the scent. Because it smells so spicey, I would recommend using it in a kitchen, breakfast room or dining room. I bought this to give to someone for a housewarming gift because the name of the candle is Home Sweet Home. I was very happy with the way this candle was packaged. It was wrapped very well in a shell of fitted cardboard and then boxed. It was delivered quickly and was completely intact, which is great because the candle is in a glass jar. I think this candle was too expensive, but I think all Yankee Candles are too expensive. I wish Yankee Candle would make more candle scents for housewarming gifts and name them accordingly.",3.0,2021-10-14,https://www.amazon.com/product-reviews/B000WUFVR0/?pageNumber=3,positive
Yankee Candle Large Jar Candle Home Sweet Home,B000WUFVR0,Lori K,"The two candles I bought are sitting in the exact spot I always put the candles I buy directly from Yankee. Even so, they burned down the middle like cheap candles.  I had to scrap the wax off the sides to fill in the cavern. That helped somewhat build the sides, but the wick is spent.  Huge waste of money. They smell great and look great until you start using them. Reviews on the Yankle Candle website show the same poor quality feedback. I contacted Yankee Xandke and was told the Amazon Store that's called Yankee Candke isn't Yankee Candle. So, no guarantees.  And the Amazon ""Yankee Candle"" won't reply.",1.0,2021-12-21,https://www.amazon.com/product-reviews/B000WUFVR0/?pageNumber=4,positive
Yankee Candle Large Jar Candle Home Sweet Home,B000WUFVR0,Kindle Customer,Very disappointed. I don't buy many Yankee candles because they are too expensive for my budget. I splurged on this one since it is Christmas season. I love the Christmas smell of balsam and the spicy scent of cloves. This candle has very little scent (had scent the first time I burned it but that has faded out) and what it has smells more like baby powder. Absolutely no clove scent at all and no balsam scent either. I paid almost $30 for this candle and it will it in the closet because it's pretty worthless as to making the house smell nice.,1.0,2021-12-14,https://www.amazon.com/product-reviews/B000WUFVR0/?pageNumber=4,positive
Yankee Candle Large Jar Candle Home Sweet Home,B000WUFVR0,Maria Hull,"I had received this scent of candle 22 years ago as a gift….. the smell is as stated “home sweet home”. 22 years later I’m still buying it. This is the first time I’ve gotten it from Amazon, and was a bit hesitant. If you are, don’t be!!! It was packaged beautifully, and soundly. The quality is all YANKEE, and it fills the house will amazing smell!! Great candle. I’ll definitely be buying more scents from Amazon in the future.",5.0,2021-11-08,https://www.amazon.com/product-reviews/B000WUFVR0/?pageNumber=5,positive
Yankee Candle Large Jar Candle Home Sweet Home,B000WUFVR0,Renee,"As for Yankee Candles, excellent in all regards! I recommend for any reason! Sorry to say that (1) one of the (2) two candles I ordered were broken upon delivery. I heard the glass shards rattling in the (1) one box when I picked it up in the mail room. I am not going to ask for a refund/replacement this time, but will if it happens on the next. This is unusual for me to experience in all my 15 years of an Amazon cutomer.",4.0,2021-12-09,https://www.amazon.com/product-reviews/B000WUFVR0/?pageNumber=5,positive
Yankee Candle Large Jar Candle Home Sweet Home,B000WUFVR0,Amanda Zufall,"These don't break the bank and they have a very nice scent. The only thing I noticed is that it takes awhile for the scent to fill a room. They aren't very very potent. (now keep in mind this is more a matter of personal preference than an actual complaint. I prefer really heavily scented candles.) Overall though, these do fill the room after awhile and they provide a lovely ambiance.",5.0,2021-12-13,https://www.amazon.com/product-reviews/B000WUFVR0/?pageNumber=6,positive
Yankee Candle Large Jar Candle Home Sweet Home,B000WUFVR0,Gary B. Sessa,"It's been burning now for about two hours and I still don't get cinnamon wafting through the house. It smelled really good when I first opened it, but unless you are right over the candle, you wouldn't know it's burning. Big disappointment. I imagine the longevity is the same as the other Yankee candles; however, I do not recommend buying it since the scent is so weak.",1.0,2021-12-05,https://www.amazon.com/product-reviews/B000WUFVR0/?pageNumber=6,negative
Yankee Candle Large Jar Candle Home Sweet Home,B000WUFVR0,michaeldj5,"This is absolutely the last time I will buy a Yankee Candle Sparkling Cinnamon candle. I am appalled at the lack of scent this thing puts out. The candle smells so nice when it's unlit. But, as soon as you start burning it, it produces virtually no scent whatsoever. My Bath & Body Works cinnamon-scented candle fills the room with scent. I'll stick with them from here on out. I wish I could return this pathetic candle.",1.0,2021-11-27,https://www.amazon.com/product-reviews/B000WUFVR0/?pageNumber=8,negative
Yankee Candle Large Jar Candle Home Sweet Home,B000WUFVR0,lvd Zwaag,This is one of my favorite holiday/winter candles. Guests often comment about how my home smells when I have it burning. I have an open livingroom/diningroom/kitchen space and it can fragrant the space. It may be a bit strong if in a smaller space. I've always had a lot of success with my purchase of Yankee candles.,5.0,2021-11-11,https://www.amazon.com/product-reviews/B000WUFVR0/?pageNumber=8,positive
Yankee Candle Large Jar Candle Home Sweet Home,B000WUFVR0,Evefalling,"The scent just isn't there.  It smelled great when I first got it, but as it burns,  it loses it scent.  Won't buy this one again.",4.0,2021-12-16,https://www.amazon.com/product-reviews/B000WUFVR0/?pageNumber=10,negative
Yankee Candle Large Jar Candle Home Sweet Home,B000WUFVR0,Uboatman,"These candles (I would assume all under the brand name of Yankee Candle) have far too much soot and debris while burning.  For the price; unacceptable.  Potentially an airborne contaminant.  Recommend consumers look for a product with less smoke, soot and debris.",1.0,2021-12-23,https://www.amazon.com/product-reviews/B000WUFVR0/?pageNumber=11,negative
Yankee Candle Large Jar Candle Home Sweet Home,B000WUFVR0,Angela,"I purchased this candle to have a lovely scent over Christmas. However, it did not have a strong scent. No, I'm not sick and I can smell everything just fine and I'm not Covid or Omicron infected like everyone is blaming it on. Not happy with this weak candle!! Will not purchase again!",1.0,2021-12-27,https://www.amazon.com/product-reviews/B000WUFVR0/?pageNumber=13,negative
Yankee Candle Large Jar Candle Home Sweet Home,B000WUFVR0,Sekhmet,Very little scent . The candle wax was in 3 or 4 layers rather than solid . I don’t know if Yankee sold them to Amazon just to get rid of a damaged product or if the separation of wax was actually due to improper storage .,2.0,2021-12-10,https://www.amazon.com/product-reviews/B000WUFVR0/?pageNumber=13,negative
Yankee Candle Large Jar Candle Home Sweet Home,B000WUFVR0,Dino Bravo,I read the reviews and figured I’d give the Sparkling Cinnamon a shot. Quite disappointed. The flame flickers heavily producing an extra amount of stinky smoke and the cinnamon smell is nonexistent.,1.0,2021-11-21,https://www.amazon.com/product-reviews/B000WUFVR0/?pageNumber=15,negative
Yankee Candle Large Jar Candle Home Sweet Home,B000WUFVR0,Stormy,I bought 4 different scents and none have any scent when they are lit. I wanted an Eucalyptus candle and they were almost $25 and now they are over $35. They have got to be kidding.,1.0,2021-11-04,https://www.amazon.com/product-reviews/B000WUFVR0/?pageNumber=17,positive
Yankee Candle Large Jar Candle Home Sweet Home,B000WUFVR0,Bananii,"These candles WERE my favorite~ But very unhappy with the poor quality. They burn black soot on jar, faint smell and burn fast. I will be searching for a new brand.",1.0,2021-10-22,https://www.amazon.com/product-reviews/B000WUFVR0/?pageNumber=18,negative
Yankee Candle Large Jar Candle Home Sweet Home,B000WUFVR0,Retail Therapist,"Evidently candle was stored in very hot environment. Unable to light wick, definitely NOT appropriate  as a gift. Red wax melted on top staining it.",1.0,2021-12-01,https://www.amazon.com/product-reviews/B000WUFVR0/?pageNumber=19,positive
Yankee Candle Large Jar Candle Home Sweet Home,B000WUFVR0,Paul C.,Still some of the best candles in the world I have my dresser top half full of candles and many scents That are good for every room in the house,5.0,2021-11-03,https://www.amazon.com/product-reviews/B000WUFVR0/?pageNumber=19,positive
Yankee Candle Large Jar Candle Home Sweet Home,B000WUFVR0,ScorpioOne86,"Read some ppl were questioning IF these were actually real Yankee Candle candles, Deff not a fake, smells exactly the same as the candle you would get from the actual Yankee Candle Store. The Home Sweet Home sent is one of my favorite sents for fall time. It just adds to that warm n cozy home feeling",5.0,2021-10-07,https://www.amazon.com/product-reviews/B000WUFVR0/?pageNumber=19,positive
Yankee Candle Large Jar Candle Home Sweet Home,B000WUFVR0,Amazon Customer,I love two wick yankee candle they just put the sent in the room twice as fast. The price is great. I refuse to pay the going price. I'd live without. I love spice sent at Christmas and actually all year. I also love cinnamon and the lilac. Smell like the real thing.,5.0,2021-12-26,https://www.amazon.com/product-reviews/B000WUFVR0/?pageNumber=20,positive
Yankee Candle Large Jar Candle Home Sweet Home,B000WUFVR0,Melissa Joy,These candles are the real deal! They are the same amazing quality you find in the store. I bought 4 so far and they are great!,5.0,2021-12-28,https://www.amazon.com/product-reviews/B000WUFVR0/?pageNumber=21,positive
Yankee Candle Large Jar Candle Home Sweet Home,B000WUFVR0,David Blair,"Pretty candle for Christmas - festive, burns evenly (maybe too well!), my wife likes the scent.  She dislikes the green balsam variety!",5.0,2021-12-18,https://www.amazon.com/product-reviews/B000WUFVR0/?pageNumber=21,positive
Yankee Candle Large Jar Candle Home Sweet Home,B000WUFVR0,Steve,I could have opened a stick of gum and had more scent. Yankee Candle has become a joke. DON'T  WASTE YOUR MONEY ON THIS CRAP.,1.0,2021-11-21,https://www.amazon.com/product-reviews/B000WUFVR0/?pageNumber=21,positive
Yankee Candle Large Jar Candle Home Sweet Home,B000WUFVR0,Judi,This is my favorite Yankee  candle and the price was right.  (They have gotten much too expensive at the  regular price!),5.0,2021-10-21,https://www.amazon.com/product-reviews/B000WUFVR0/?pageNumber=22,positive
Yankee Candle Large Jar Candle Home Sweet Home,B000WUFVR0,Mn Girl,Enjoy Yankee candles. Scent is not overpowering. Good value considering how expensive candles area.  Makes a nice gift.,5.0,2021-10-27,https://www.amazon.com/product-reviews/B000WUFVR0/?pageNumber=22,positive
Yankee Candle Large Jar Candle Home Sweet Home,B000WUFVR0,KEN,Love Yankee candles! But I was surprised that this one wasn't nearly as fragrant as some of the others I've purchased.,4.0,2021-10-29,https://www.amazon.com/product-reviews/B000WUFVR0/?pageNumber=22,positive
Yankee Candle Large Jar Candle Home Sweet Home,B000WUFVR0,CK,"The scent is awesome with previous Large Tumbler Candle purchase; however did not have opportunity to enrich the scent with the Medium Tumbler Candle. Very poor packaging ~ No box or protection when shipped!  Arrived in many jingling, glass pieces  : ~(",1.0,2021-11-20,https://www.amazon.com/product-reviews/B000WUFVR0/?pageNumber=23,negative
Yankee Candle Large Jar Candle Home Sweet Home,B000WUFVR0,Ancient_Warrior_Collector,"I have bought many Yankee candles but this one does not have much fragrance. Burns rather oddly, not long lasting.",2.0,2021-12-16,https://www.amazon.com/product-reviews/B000WUFVR0/?pageNumber=23,neutral
Yankee Candle Large Jar Candle Home Sweet Home,B000WUFVR0,kldmom3ga,I am so disappointed in this candle. I hadn't bought a Yankee Candle in years. I saw this one and remembered how much I loved their scents. I burned this one for hours at a time on several different occasions and I couldn't even tell I had a candle lit. There were no smell.,1.0,2021-12-07,https://www.amazon.com/product-reviews/B000WUFVR0/?pageNumber=23,negative
Yankee Candle Large Jar Candle Home Sweet Home,B000WUFVR0,Janice H. Schillo,"The candle had melted and rehardened, either in storage.  Reordered.  Same problem.  Kept the first candle, with full refund.  Second candle also had melted and I returned it.  Got a refund but I think shipping was not refunded.  Should have been great product but severely damaged.",1.0,2021-11-07,https://www.amazon.com/product-reviews/B000WUFVR0/?pageNumber=23,negative
Yankee Candle Large Jar Candle Home Sweet Home,B000WUFVR0,sharon a douglas,I am very disappointed.  You can barely smell cinnamon and it smells like burning wax more than cinnamon.,2.0,2021-12-15,https://www.amazon.com/product-reviews/B000WUFVR0/?pageNumber=24,negative
Yankee Candle Large Jar Candle Home Sweet Home,B000WUFVR0,kitty,I own 40 plus Yankee candles… I rotate seasonally… I’ve owned this so I realize this is old or fake… I got NOTHING … read about fakes is this possible? 😰,1.0,2021-10-28,https://www.amazon.com/product-reviews/B000WUFVR0/?pageNumber=25,positive
Yankee Candle Large Jar Candle Home Sweet Home,B000WUFVR0,JohnBoy,Makes the house smell like real cinnamon.  Other candles smell ‘cheap’.  This one is great!,5.0,2021-11-22,https://www.amazon.com/product-reviews/B000WUFVR0/?pageNumber=26,positive
Yankee Candle Large Jar Candle Home Sweet Home,B000WUFVR0,Joseph Paulino,"Smells great, burns great, good size, good longevity. The smell can be a bit too sweet at times, but man.... just a good candle",5.0,2021-11-02,https://www.amazon.com/product-reviews/B000WUFVR0/?pageNumber=26,positive
Yankee Candle Large Jar Candle Home Sweet Home,B000WUFVR0,T Thomas,The smell was not strong like in the store,1.0,2021-12-22,https://www.amazon.com/product-reviews/B000WUFVR0/?pageNumber=27,negative
Yankee Candle Large Jar Candle Home Sweet Home,B000WUFVR0,Suzie,"I love these and amazon keep me from having to go to the mall to get them, yay",5.0,2021-12-28,https://www.amazon.com/product-reviews/B000WUFVR0/?pageNumber=28,positive
Yankee Candle Large Jar Candle Home Sweet Home,B000WUFVR0,Glenda Hawthorne,Wonderful scent from this long-lasting Yankee Candle. You won't be disappointed.,5.0,2021-10-03,https://www.amazon.com/product-reviews/B000WUFVR0/?pageNumber=29,positive
Yankee Candle Large Jar Candle Home Sweet Home,B000WUFVR0,L. D.,This used to be my absolute favorite candle. I was so confused when I burned it and I could not smell it. I had burned a different brand of candle shortly before this one and it smelled wonderful. I've tried setting it on a table right next to my chair and I still can't smell it. Huge disappointment and waste of money.,1.0,2021-12-07,https://www.amazon.com/product-reviews/B000WUFVR0/?pageNumber=29,negative
Yankee Candle Large Jar Candle Home Sweet Home,B000WUFVR0,kevin walters,"Like everything about this candle. Price, scent. Great purchase and I'm extremely happy.",5.0,2021-12-24,https://www.amazon.com/product-reviews/B000WUFVR0/?pageNumber=29,positive
"Yankee Candle Large Jar Candle, Black Cherry",B001D6HB0M,smallkatz,I use this candle for aroma therapy. The cherry brings memories of happier times. Well worth the money and is shipped in a special carton to prevent breaking.,5.0,2021-11-22,https://www.amazon.com/product-reviews/B001D6HB0M,positive
"Yankee Candle Large Jar Candle, Black Cherry",B001D6HB0M,smallkatz,I use this candle for aroma therapy. The cherry brings memories of happier times. Well worth the money and is shipped in a special carton to prevent breaking.,5.0,2021-11-22,https://www.amazon.com/product-reviews/B001D6HB0M/?pageNumber=1,positive
"Yankee Candle Large Jar Candle, Black Cherry",B001D6HB0M,Charise,The very first candle that I can actually say smells as it should and permeates the entire house!! Absolutely Amazing!! Highly recommended!,5.0,2021-10-04,https://www.amazon.com/product-reviews/B001D6HB0M/?pageNumber=2,positive
"Yankee Candle Large Jar Candle, Black Cherry",B001D6HB0M,strawberry23d,I opened this product and the smell was certainly not like black raspberry. May be returning.,1.0,2021-11-22,https://www.amazon.com/product-reviews/B001D6HB0M/?pageNumber=2,positive
"Yankee Candle Large Jar Candle, Black Cherry",B001D6HB0M,Tara,"Product arrived on time. The smell is strong, which I love. I would definitely recommend this product.",5.0,2021-11-02,https://www.amazon.com/product-reviews/B001D6HB0M/?pageNumber=2,positive
"Yankee Candle Large Jar Candle, Black Cherry",B001D6HB0M,Stormy,Smells great when you open it. May as well burn an unscented candle when you light it. Shame.,1.0,2021-11-04,https://www.amazon.com/product-reviews/B001D6HB0M/?pageNumber=2,positive
"Yankee Candle Large Jar Candle, Black Cherry",B001D6HB0M,Brandon,"Nothing wrong with the product, just hate the smell. Reminds me of cherry chapstick",3.0,2021-10-17,https://www.amazon.com/product-reviews/B001D6HB0M/?pageNumber=2,negative
"Yankee Candle Large Jar Candle, Black Cherry",B001D6HB0M,Dennis L Dhaese,Gift for wife. She loved it. Yankee candles are the best. Price was yes than 1/2 the Yankee Store price.,4.0,2021-10-26,https://www.amazon.com/product-reviews/B001D6HB0M/?pageNumber=2,positive
"Yankee Candle Large Jar Candle, Black Cherry",B001D6HB0M,D'ANNE,smelled great and lasted super long,5.0,2021-12-20,https://www.amazon.com/product-reviews/B001D6HB0M/?pageNumber=2,positive
"Yankee Candle Large Jar Candle, Black Cherry",B001D6HB0M,pw04,"My wife loves candles of all sorts, but this candle was a hit! It lasted longer than most and was fragrant till the end. It didn't lose it's scent like other candles do. I will definitely buy again.",5.0,2021-10-17,https://www.amazon.com/product-reviews/B001D6HB0M/?pageNumber=4,positive
"Yankee Candle Large Jar Candle, Black Cherry",B001D6HB0M,louis siegel,candle scent not strong,2.0,2021-11-19,https://www.amazon.com/product-reviews/B001D6HB0M/?pageNumber=8,negative
"Yankee Candle Large Jar Candle, Black Cherry",B001D6HB0M,Amazon Customer,Wax dripping down the side of the glass,1.0,2021-12-23,https://www.amazon.com/product-reviews/B001D6HB0M/?pageNumber=8,neutral
"Yankee Candle Large Jar Candle, Black Cherry",B001D6HB0M,Customer,The scent of the Black Cherry is far beyond strong. The scent is also no different than a Walmart bargain bin cherry candle. Save your money and your nose. I have to keep it 3 rooms away to avoid a headache.,2.0,2021-12-23,https://www.amazon.com/product-reviews/B001D6HB0M/?pageNumber=13,positive
"Yankee Candle Large Jar Candle, Black Cherry",B001D6HB0M,Angela Harris,"I didn't think I'd like the scent, it's a Christmas gift, but WOW! Im getting a couple in different scents next week! You won't regret this one!",5.0,2021-12-14,https://www.amazon.com/product-reviews/B001D6HB0M/?pageNumber=13,positive
Yankee Candle Large Jar Candle Spiced Pumpkin,B000W3V8S8,Michele F,"I have been buying Yankee Candles for years. My favorite is Macintosh apple. When I saw this scent, I decided to try it. Initially the scent was wonderful, my whole place smelled like someone was baking with cinnamon. I thought I had found a new favorite. Fast forward a couple of weeks. Once the candle had burned down about an inch, all of the scent disappeared. I am so disappointed. I have practically a whole candle that has no aroma. I've never experienced this with a Yankee Candle before, however I've read many reviews from people who have experienced a similar issue with other scents. If you're looking for a long lasting candle with a nice scent, steer clear of sugared cinnamon apple.",1.0,2021-11-15,https://www.amazon.com/product-reviews/B000W3V8S8/?pageNumber=2,positive
Yankee Candle Large Jar Candle Spiced Pumpkin,B000W3V8S8,Gina G-Lover,The first one I ordered arrived semi melted. See my photos. You’ll see one where it actually leaked thru the cardboard it was packed in & thru that to the box it was mailed in. I returned it & got a replacement. The second one arrived semi melted too but not as bad as the first one. See photos. The top of the candle wasn’t flat & it got wax inside the cover & like stained it. I couldn’t wipe it clean. The second one wasn’t that bad so I kept it & it’s actually almost all gone because I’ve been burning it. I was a big fan of Yankee candles because you could always smell the scent through out your house but I didn’t find that with this one? Not sure why?? Funny thing is I ordered this I believe in November/December & it’s not hot enough for the wax to be melting inside the candle during the shipping process. I don’t think I will buy anymore Yankee candles…besides the other ones I bought through here & had issues with too.,4.0,2022-01-01,https://www.amazon.com/product-reviews/B000W3V8S8/?pageNumber=3,positive
Yankee Candle Large Jar Candle Spiced Pumpkin,B000W3V8S8,Joe E.,"I have purchased many different brands of candles over the years trying to find a company that competes in its fragrances with Yankee candles. I finally decided several years ago that I would only buy Yankee candles and stop wasting my money on the other brands, since I am always disappointed with them. I was thrilled when I found my favorite Cranberry Chutney jar candle available on Amazon a couple of weeks before Christmas. However, as I have burned it over the past several days, I have been extremely disappointed. My house used to be filled with the delicious aroma from this candle, but this time, I can barely smell it. I have heard the excuse that people are complaining about Yankee candles' scents this year due to a loss of smell from Covid-19. That is not the case with me, because I have not contracted covid, and my sense of smell is just fine. If other people are complaining, I have a feeling the Yankee Candle Company has changed something in the way it adds the different fragrances to their candles, so now, they are less potent than they always have been. I want a candle that can fill my house with a delicious scent, not one that I have to keep trying to smell! If you are expecting the Yankee Candle of old when you purchase this one, you will be disappointed. Please, Yankee Candle Company, go back to your former formulas for your candles!",2.0,2021-12-31,https://www.amazon.com/product-reviews/B000W3V8S8/?pageNumber=3,positive
Yankee Candle Large Jar Candle Spiced Pumpkin,B000W3V8S8,Ann McD,"You cannot beat the price of an authentic Yankee Candle. I live in MA and it’s hard to find any on sale Amazon had the best selection. I buy them all the time for gifts. They’re packaged exactly how the company would ship them. I’ve had bathe and body works candles show up broken and glass everywhere. Not these! This candle has incredible throw of scent and it lasts forever! For $19 I’m blown away. It’s like getting 4 regular candles in one. No comparison. Highest quality and timeless scent is worth the price. Thanks Amazon for letting me keep one lit every day! Makes my house homey! Perfect gifts- I recommend the sage and citrus, lilac as well. Not pink sands… avoid that one!",5.0,2021-10-13,https://www.amazon.com/product-reviews/B000W3V8S8/?pageNumber=3,positive
Yankee Candle Large Jar Candle Spiced Pumpkin,B000W3V8S8,Chase,"Arrived completely defective. It was visually leaking outside the packaging and this was clearly on Yankee Candle's end because the rest of my products inside the same Amazon box were all completely fine. Absolutely unacceptable. I usually buy from Village Candle instead, and believe me, you should too. I have had issue with every Yankee Candle I've purchased before and never a problem with their #1 competition...I'll let you draw your own conclusions on which company to buy from!",1.0,2021-10-08,https://www.amazon.com/product-reviews/B000W3V8S8/?pageNumber=3,positive
Yankee Candle Large Jar Candle Spiced Pumpkin,B000W3V8S8,DrM,"I purchased this from Amazon and did not use it right away. When I went to use it, the wick was not useable so I could not burn the candle. I called Yankee Candle since it was outside Amazon's return window and they refused to replace it, kept referring me back to Amazon--even though it was not Amazon's fault they made a defective product. Very disappointed in Yankee Candle customer service.",1.0,2021-11-09,https://www.amazon.com/product-reviews/B000W3V8S8/?pageNumber=4,negative
Yankee Candle Large Jar Candle Spiced Pumpkin,B000W3V8S8,Dan B.,"The product is fantastic! The problem is Bezos taking his cut which don't leave much meat on the bone for the seller, and I think that's BULLSHlT!! I sincerely hope, from the bottom of my heart that Jeff and the Sanchez live forever! Again, fantastic product! Great seller! Thank you very much.",5.0,2021-10-03,https://www.amazon.com/product-reviews/B000W3V8S8/?pageNumber=5,positive
Yankee Candle Large Jar Candle Spiced Pumpkin,B000W3V8S8,Kindle Customer,The candle smells nice but is no where near as nice as a real Yankee candle.  I think these are counterfeit - someone kept the jar and refilled it with a candle but it just is not as strong nor pleasant as a real Yankee candle.  I am disappointed.,1.0,2021-12-07,https://www.amazon.com/product-reviews/B000W3V8S8/?pageNumber=6,negative
Yankee Candle Large Jar Candle Spiced Pumpkin,B000W3V8S8,Amanda Zufall,"These don't break the bank and they have a very nice scent. The only thing I noticed is that it takes awhile for the scent to fill a room. They aren't very very potent. (now keep in mind this is more a matter of personal preference than an actual complaint. I prefer really heavily scented candles.) Overall though, these do fill the room after awhile and they provide a lovely ambiance.",5.0,2021-12-13,https://www.amazon.com/product-reviews/B000W3V8S8/?pageNumber=6,positive
