date,freq
2021-12-28,58
2021-12-23,38
2021-11-18,29
2021-12-31,28
2021-12-10,27
2021-12-20,27
2021-11-15,27
2021-11-08,26
2021-12-13,26
2021-11-05,26
2021-11-23,25
2021-12-04,24
2021-12-11,24
2021-11-29,23
2021-11-30,22
2021-11-28,22
2021-12-06,22
2021-11-19,21
2022-01-01,20
2021-12-19,20
2021-12-17,20
2021-11-22,20
2021-12-27,20
2021-12-03,19
2021-11-26,18
2021-10-02,18
2021-11-02,18
2021-12-29,18
2021-12-18,18
2021-11-20,18
2021-10-07,18
2021-12-24,17
2021-12-07,17
2021-12-30,17
2021-12-14,16
2021-12-02,16
2021-11-17,16
2021-10-01,16
2021-11-07,16
2021-10-03,16
2021-12-22,15
2021-12-05,15
2021-10-04,15
2021-10-06,14
2021-12-26,14
2021-10-14,14
2021-12-15,14
2021-10-09,13
2021-12-09,13
2021-10-29,13
2021-12-25,13
2021-10-26,13
2021-10-21,12
2021-12-01,12
2021-12-16,12
2021-12-12,11
2021-11-25,11
2021-10-18,10
2021-11-24,10
2021-11-04,10
2021-11-21,10
2021-12-21,10
2021-12-08,10
2021-11-03,10
2021-10-28,9
2021-11-27,9
2021-10-25,9
2021-10-20,9
2021-10-22,9
2021-10-30,8
2021-11-09,8
2021-11-01,8
2021-10-27,8
2021-11-06,7
2021-10-24,7
2021-10-10,7
2021-10-31,7
2021-10-17,7
2021-10-19,6
2021-11-10,6
2021-11-11,6
2021-11-12,6
2021-10-08,6
2021-11-16,5
2021-10-11,5
2021-10-12,4
2021-11-14,4
2021-10-05,4
2021-10-15,3
2021-10-13,3
2021-11-13,3
2021-10-23,1
2021-10-16,1
