product_title,asin,author,review,rating,date,url
Yankee Candle Large Jar Candle Home Sweet Home,B000WUFVR0,David C.,"I usually have good experience with Yankee Candles.  But 2 of the 3 I bought on Amazon were duds.  Both Sparkling Cinnamon candles only burned about 50% of the wax before the wicks were spent.  I always trimmed the wicks per the instructions on the bottom, but one of them sooted really badly and neither burned properly. On the first, about 1.5 inches from the bottom, the wick burned out because it was folded over and didn't go to the bottom of the candle.  The other one burned with such a low flame that it burned a hole down into the wax without melting half of it.  I've never had this problem with Yankee Candles purchased at a local brick and mortar store for $20+.  Perhaps these $13 units on Amazon are factory rejects? On a positive note, they smelled good.  Just wish I would have gotten them to burn thoroughly. I don't think I'll be buying any more of these off of Amazon.",2.0,2019-01-18,https://www.amazon.com/product-reviews/B000WUFVR0/?pageNumber=1
Yankee Candle Large Jar Candle Home Sweet Home,B000WUFVR0,Vanessa,"I don’t think this is a real yankee candle. The wax was filled all the way to the top covering the wicks, making it unusable unless i’m able to scrape the wax away. Further, i noticed that it did not come with a proper Yankee Candle lid.  I attached photos of a real yankee candle next to the one i purchased.",1.0,2018-12-16,https://www.amazon.com/product-reviews/B000WUFVR0/?pageNumber=1
Yankee Candle Large Jar Candle Home Sweet Home,B000WUFVR0,keith e.,"If you like a cinnamon scent with a hint of apple thrown in, then you'll love this candle.  I light this candle and leave it lit all day.  It last a long time. Seller provided fast shipping, I recommend this candle.",5.0,2019-08-25,https://www.amazon.com/product-reviews/B000WUFVR0/?pageNumber=1
Yankee Candle Large Jar Candle Home Sweet Home,B000WUFVR0,Concerned Citizen,"I read reviews of this and another version where apparently neither candle has much if any scent at all. So I ordered both versions to test them before sending them as gifts to others and it's true, essentially no scent. You might as well just buy a red candle, or alternatively pay more for one that is worth it.",1.0,2018-11-27,https://www.amazon.com/product-reviews/B000WUFVR0/?pageNumber=1
Yankee Candle Large Jar Candle Home Sweet Home,B000WUFVR0,Wayne Connell,"I purchase Yankee Candles regularly, an array of different scents throughout the year. Every 8th or 9th purchase yields a candle that is so devoid of fragrance as to make dubious the claim that it is a scented candle at all. This purchase of Sparkling Cinnamon is another example. After burning it for at least two hours, it smelled like ... absolutely nothing. Even inhaling deeply near the lip of the burning candle yielded no discernible scent. Yankee Candle needs to do a better job ensuring consistency of formula and product design. It is frustrating to pay $27 for a ""scented"" candle that is, in fact, unscented.",1.0,2016-09-18,https://www.amazon.com/product-reviews/B000WUFVR0/?pageNumber=1
Yankee Candle Large Jar Candle Home Sweet Home,B000WUFVR0,Lulu,I was very disappointed with this item.  The candle smelled great until it was lit!  There was no smell when lit.  Will never purchase sparkling cinnamon again.,1.0,2018-02-18,https://www.amazon.com/product-reviews/B000WUFVR0/?pageNumber=1
Yankee Candle Large Jar Candle Home Sweet Home,B000WUFVR0,MbG,"Sparkling cinnamon lg jar: burned only at center, poor room fill, thin short wick. ALL NOT typical of REAL Yankee candles, regardless of form. Seems like a seller re-do using Yankee’s glass jar. My pics are exactly like Glen’s above.",1.0,2019-02-21,https://www.amazon.com/product-reviews/B000WUFVR0/?pageNumber=1
Yankee Candle Large Jar Candle Home Sweet Home,B000WUFVR0,Sussett,The candle has not smell at all and it cost more that the regular/original Yankee Candle Sparkling. I want a replacement with the original candle that has scent without charge.,1.0,2017-12-01,https://www.amazon.com/product-reviews/B000WUFVR0/?pageNumber=1
Yankee Candle Large Jar Candle Home Sweet Home,B000WUFVR0,Amazon Customer,"The media could not be loaded. I apologize for such a long video, but I wanted to capture the candle shooting flames into the air. I bought 3 candles. The other two are excellent. However, this one “Home Sweet Home” just snaps, cracks, sizzles, and shoots flames out the top. That’s if I can get it lit.  I’ve NEVER seen a candle do this.  I’m so disappointed, because it actually does smell wonderful.  The first time I burned it, I had no problem.",1.0,2020-09-17,https://www.amazon.com/product-reviews/B000WUFVR0/?pageNumber=1
Yankee Candle Large Jar Candle Home Sweet Home,B000WUFVR0,Kristen S,"I love,love,love this candle!!! It does not have a good odor, it has an amazing😊😘😊😘one!!! It has a scent just as you'd think cinnamon should smell. My neighbors smoke 🚬 24/7 and it makes me nauseated. I've asked them to please turn on their exhaust, but they don't all time, which I think is rude.  Lighting the one wick (I wish they were two wicks. You know, to make it a stronger strength against the cigarette 🚬. The other Yankee candle has two wicks...the one that goes straight all the way up and doesn't curve inward at the top), but just lighting this candle helps against the cigarette 🚬 smell. I hope this will help you as well! If this review helps you please press the ""helpful"" below I below. I do not get any free or discounted items. I just like to know that I've helped my fellow women and men. Thanks!",5.0,2020-01-26,https://www.amazon.com/product-reviews/B000WUFVR0/?pageNumber=1
