,date,freq
0,"December 28, 2021",47
1,"December 23, 2021",36
2,"January 12, 2022",31
3,"December 31, 2021",27
4,"January 13, 2022",27
5,"November 23, 2021",24
6,"November 19, 2020",24
7,"November 23, 2020",23
8,"November 18, 2021",22
9,"March 22, 2021",22
10,"December 10, 2021",22
11,"December 14, 2018",20
12,"April 29, 2021",20
13,"December 04, 2021",20
14,"November 29, 2021",20
15,"December 13, 2021",20
16,"November 08, 2021",20
17,"February 15, 2021",20
18,"November 09, 2020",20
19,"November 22, 2020",19
20,"November 28, 2021",19
21,"December 11, 2021",19
22,"January 04, 2022",19
23,"January 18, 2022",19
24,"February 04, 2021",19
25,"January 05, 2022",18
26,"December 12, 2020",18
27,"January 08, 2022",18
28,"September 28, 2018",18
29,"October 02, 2021",18
30,"December 08, 2020",18
31,"October 21, 2020",18
32,"August 02, 2021",18
33,"March 17, 2021",18
34,"September 16, 2021",18
35,"February 25, 2021",17
36,"November 28, 2020",17
37,"November 06, 2020",17
38,"October 24, 2020",17
39,"November 22, 2021",17
40,"January 01, 2022",17
41,"July 02, 2021",17
42,"December 19, 2021",17
43,"April 27, 2021",17
44,"September 29, 2020",17
45,"December 14, 2021",16
46,"November 26, 2021",16
47,"December 20, 2021",16
48,"October 18, 2020",16
49,"February 27, 2021",16
50,"January 12, 2020",16
51,"December 30, 2021",16
52,"November 16, 2020",16
53,"October 20, 2020",16
54,"December 26, 2020",16
55,"November 30, 2021",16
56,"January 22, 2021",16
57,"January 17, 2022",16
58,"January 03, 2022",16
59,"February 22, 2021",16
60,"February 12, 2021",15
61,"January 08, 2021",15
62,"October 04, 2021",15
63,"October 28, 2020",15
64,"January 21, 2018",15
65,"November 05, 2021",15
66,"January 15, 2020",15
67,"July 14, 2020",15
68,"October 04, 2020",15
69,"December 31, 2020",15
70,"January 11, 2020",15
71,"June 30, 2021",15
72,"June 28, 2021",15
73,"April 11, 2020",15
74,"January 02, 2022",15
75,"December 16, 2018",15
76,"June 19, 2020",15
77,"December 02, 2021",14
78,"November 27, 2020",14
79,"January 11, 2022",14
80,"December 18, 2021",14
81,"January 06, 2021",14
82,"January 09, 2022",14
83,"December 17, 2021",14
84,"December 06, 2021",14
85,"January 10, 2021",14
86,"November 19, 2021",14
87,"November 20, 2020",14
88,"September 08, 2021",14
89,"January 04, 2021",13
90,"July 08, 2021",13
91,"January 06, 2022",13
92,"December 05, 2020",13
93,"December 29, 2021",13
94,"October 25, 2020",13
95,"February 13, 2021",13
96,"February 15, 2020",13
97,"June 02, 2021",13
98,"October 27, 2020",13
99,"September 25, 2021",13
100,"December 27, 2021",13
101,"September 23, 2020",13
102,"January 07, 2019",13
103,"October 03, 2021",13
104,"October 09, 2021",13
105,"December 25, 2021",13
106,"December 09, 2021",13
107,"September 07, 2020",13
108,"March 23, 2021",13
109,"December 07, 2021",13
110,"January 10, 2022",13
111,"December 14, 2020",13
112,"December 03, 2021",13
113,"October 22, 2020",13
114,"January 24, 2021",13
115,"December 13, 2020",12
116,"December 06, 2020",12
117,"July 29, 2019",12
118,"September 15, 2020",12
119,"March 02, 2018",12
120,"August 09, 2021",12
121,"October 01, 2021",12
122,"October 09, 2018",12
123,"January 12, 2021",12
124,"September 21, 2018",12
125,"January 07, 2022",12
126,"November 05, 2020",12
127,"November 02, 2021",12
128,"January 13, 2021",12
129,"February 19, 2021",12
130,"February 26, 2021",12
131,"February 03, 2020",12
132,"February 23, 2021",12
133,"December 18, 2019",12
134,"August 22, 2021",12
135,"November 15, 2020",12
136,"April 14, 2021",12
137,"March 05, 2019",12
138,"December 30, 2020",12
139,"February 20, 2020",12
140,"February 03, 2021",12
141,"October 30, 2020",12
142,"January 29, 2021",12
143,"April 19, 2018",12
144,"January 15, 2022",12
145,"December 23, 2018",12
146,"May 22, 2020",12
147,"October 05, 2020",11
148,"January 26, 2019",11
149,"September 26, 2021",11
150,"October 14, 2021",11
151,"September 14, 2021",11
152,"December 03, 2020",11
153,"February 28, 2020",11
154,"January 25, 2021",11
155,"January 29, 2020",11
156,"November 25, 2021",11
157,"December 12, 2021",11
158,"December 13, 2019",11
159,"May 04, 2020",11
160,"November 15, 2021",11
161,"December 19, 2020",11
162,"October 31, 2020",11
163,"December 15, 2020",11
164,"August 15, 2021",11
165,"September 28, 2021",11
166,"October 29, 2021",11
167,"November 03, 2020",11
168,"August 24, 2021",11
169,"April 20, 2021",11
170,"December 23, 2020",11
171,"July 20, 2020",11
172,"January 05, 2021",11
173,"October 06, 2021",11
174,"July 18, 2021",11
175,"June 08, 2021",11
176,"July 09, 2020",11
177,"May 21, 2020",11
178,"October 26, 2021",10
179,"September 11, 2020",10
180,"January 07, 2021",10
181,"November 01, 2020",10
182,"March 20, 2021",10
183,"February 06, 2021",10
184,"May 19, 2020",10
185,"June 05, 2020",10
186,"March 18, 2021",10
187,"October 21, 2021",10
188,"March 21, 2021",10
189,"September 11, 2021",10
190,"January 14, 2022",10
191,"November 17, 2021",10
192,"January 19, 2021",10
193,"November 02, 2020",10
194,"December 07, 2019",10
195,"January 01, 2019",10
196,"April 23, 2021",10
197,"December 17, 2020",10
198,"August 08, 2020",10
199,"January 21, 2021",10
200,"December 11, 2020",10
201,"October 02, 2020",10
202,"August 30, 2018",10
203,"December 21, 2020",10
204,"March 06, 2021",10
205,"December 05, 2021",10
206,"December 15, 2021",10
207,"December 22, 2021",10
208,"April 04, 2021",10
209,"July 13, 2021",10
210,"November 27, 2019",10
211,"April 26, 2021",10
212,"March 11, 2021",10
213,"December 18, 2020",10
214,"October 15, 2020",10
215,"December 26, 2021",10
216,"November 21, 2019",10
217,"April 25, 2021",10
218,"December 10, 2019",10
